,Total Heads State,Data Type,f_j,Theoretical Deviation
0,0,simulation,0.0,0.09765625
1,1,simulation,0.0,0.9765625
2,2,simulation,0.02,2.39453125
3,3,simulation,0.1,1.7187499999999996
4,4,simulation,0.3,9.492187499999998
5,5,simulation,0.27,2.3906250000000018
6,6,simulation,0.16,4.5078125
7,7,simulation,0.13,1.2812500000000004
8,8,simulation,0.01,3.39453125
9,9,simulation,0.01,0.02343750000000002
10,10,simulation,0.0,0.09765625
11,0,experimental,0.01,0.90234375
12,1,experimental,0.01,0.02343750000000002
13,2,experimental,0.01,3.39453125
14,3,experimental,0.06,5.71875
15,4,experimental,0.21,0.4921874999999992
16,5,experimental,0.32,7.390625000000001
17,6,experimental,0.24,3.492187499999999
18,7,experimental,0.11,0.71875
19,8,experimental,0.03,1.39453125
20,9,experimental,0.0,0.9765625
21,10,experimental,0.0,0.09765625
22,0,theoretical,0.0009765625,0.0
23,1,theoretical,0.009765625,0.0
24,2,theoretical,0.0439453125,0.0
25,3,theoretical,0.1171875,0.0
26,4,theoretical,0.205078125,0.0
27,5,theoretical,0.24609375,0.0
28,6,theoretical,0.205078125,0.0
29,7,theoretical,0.1171875,0.0
30,8,theoretical,0.0439453125,0.0
31,9,theoretical,0.009765625,0.0
32,10,theoretical,0.0009765625,0.0
